Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,91.88,92.49,89.29,92.49,75.03,2840553
2008-01-02,96.13,97.12,88.54,97.12,78.78,9666830
2008-01-03,97.79,101.97,95.87,97.53,79.12,8934135
2008-01-04,99.24,101.16,94.51,97.24,78.88,2682759
2008-01-07,92.95,96.95,92.83,95.98,77.86,4345704
2008-01-08,96.56,98.79,91.28,93.54,75.88,4551151
2008-01-09,89.67,93.57,88.91,89.77,72.82,4389938
2008-01-10,88.91,92.71,85.83,86.45,70.13,2722439
2008-01-11,88.13,88.13,82.12,82.24,66.72,2575775
2008-01-14,82.0,82.0,78.57,79.75,64.69,1765114
2008-01-15,82.77,83.74,81.27,83.74,67.93,1278003
2008-01-16,81.24,87.52,79.8,83.24,67.52,2367809
2008-01-17,84.84,86.6,82.01,82.85,67.21,1219129
2008-01-18,80.93,83.15,78.71,78.98,64.07,1271322
2008-01-21,77.86,77.86,74.87,74.87,60.74,2613915
2008-01-22,71.13,71.27,71.13,71.13,57.7,307708
2008-01-23,71.13,74.34,67.58,71.09,57.66,2281284
2008-01-24,73.57,74.49,67.53,67.53,54.78,1628301
2008-01-25,68.21,70.91,68.21,70.91,57.52,1174516
2008-01-28,71.27,72.65,67.37,69.23,56.16,1483229
2008-01-29,72.42,72.5,66.67,69.23,56.16,775690
2008-01-30,69.23,70.2,67.59,68.23,55.35,551701
2008-01-31,68.97,68.97,64.82,67.21,54.52,1333381
2008-02-01,68.97,69.74,63.85,66.29,53.77,691228
2008-02-04,68.89,68.97,64.91,66.18,53.69,1963346
2008-02-05,67.44,67.44,65.7,66.67,54.08,557090
2008-02-06,64.2,66.14,63.46,64.14,52.03,445656
2008-02-07,67.21,67.35,63.23,64.18,52.06,735971
2008-02-08,62.84,64.45,60.97,60.97,49.46,1449642
2008-02-11,61.62,61.62,57.93,57.93,46.99,110533
2008-02-12,55.19,57.1,55.03,55.03,44.64,1535279
2008-02-13,52.28,57.63,52.28,53.42,43.34,5682477
2008-02-14,52.5,56.02,52.5,55.05,44.65,1819187
2008-02-15,54.41,57.8,54.03,56.06,45.48,1223761
2008-02-18,56.71,56.71,54.04,54.94,44.56,2468451
2008-02-19,55.95,56.86,54.57,55.12,44.71,753913
2008-02-20,54.64,55.95,53.26,54.09,43.88,386260
2008-02-21,53.65,55.49,53.65,54.03,43.83,893583
2008-02-22,53.27,53.65,51.73,52.49,42.58,948569
2008-02-25,53.65,53.65,49.86,50.69,41.12,2889498
2008-02-26,51.65,52.01,51.12,51.45,41.73,519902
2008-02-27,52.88,54.02,52.11,52.81,42.84,1784439
2008-02-28,52.88,52.88,50.96,52.64,42.7,1712203
2008-02-29,53.26,53.34,51.5,52.63,42.7,692233
2008-03-03,52.11,52.11,50.01,50.79,41.2,2182703
2008-03-04,50.21,51.87,50.12,51.21,41.54,1755889
2008-03-05,49.89,52.42,49.89,50.73,41.15,1663885
2008-03-07,49.12,50.11,48.19,49.04,39.78,1722550
2008-03-10,45.98,47.89,44.83,46.71,37.89,2366830
2008-03-11,47.98,51.38,46.44,50.83,41.23,3164246
2008-03-12,55.49,55.79,49.05,49.22,39.92,2847652
2008-03-13,45.98,47.59,44.37,44.89,36.41,1399575
2008-03-14,45.22,46.79,43.76,45.67,37.05,2778091
2008-03-17,42.92,45.2,41.1,41.12,33.36,4573529
2008-03-18,40.31,40.31,38.32,39.89,32.36,2553410
2008-03-19,42.92,43.22,39.02,40.03,32.47,1354023
2008-03-24,40.62,42.53,37.94,38.86,31.53,3509469
2008-03-25,40.46,42.75,39.94,42.5,34.47,4395092
2008-03-26,42.54,44.07,40.23,41.5,33.66,1367802
2008-03-27,40.62,45.65,40.24,43.83,35.55,1735742
2008-03-28,44.83,48.21,44.45,46.62,37.82,2133824
2008-03-31,45.6,50.15,45.6,45.96,37.28,7015179
2008-04-01,48.28,48.82,43.69,46.05,37.36,1250536
2008-04-02,47.51,48.51,46.43,47.25,38.33,1020662
2008-04-03,47.14,49.66,46.23,49.14,39.86,716894
2008-04-04,49.2,49.35,46.52,47.39,38.44,1919856
2008-04-07,48.21,50.12,46.07,48.7,39.5,681950
2008-04-08,48.67,50.19,48.29,49.4,40.07,467095
2008-04-09,49.05,51.34,48.43,51.12,41.47,521937
2008-04-10,51.73,52.04,50.96,51.68,41.93,605578
2008-04-11,52.65,52.8,50.21,52.1,42.26,674630
2008-04-15,50.96,55.56,50.6,54.31,44.06,1249101
2008-04-16,55.18,56.29,54.64,55.32,44.88,1031218
2008-04-17,56.71,59.35,56.33,57.59,46.72,1700720
2008-04-21,61.69,61.69,58.63,60.29,48.91,872432
2008-04-22,59.01,61.68,59.01,60.66,49.21,1556352
2008-04-23,60.93,61.08,59.01,59.28,48.09,1070820
2008-04-24,59.78,60.31,59.09,59.55,48.31,192621
2008-04-25,59.01,61.92,58.7,61.41,49.81,1264746
2008-04-28,62.6,63.61,62.08,63.27,51.32,683399
2008-04-29,63.23,65.26,63.23,64.96,52.7,843816
2008-04-30,67.44,67.44,64.22,64.8,52.56,1843966
2008-05-02,66.25,67.36,64.86,66.78,54.17,2294502
2008-05-05,67.44,67.74,66.52,66.85,54.23,1438486
2008-05-06,66.67,67.29,65.39,66.08,53.61,2420981
2008-05-07,65.14,66.2,63.99,65.9,53.46,527809
2008-05-08,65.14,66.21,64.25,64.51,52.33,1165278
2008-05-09,64.76,64.76,62.08,62.64,50.82,799060
2008-05-12,61.54,62.84,59.09,61.69,50.04,629900
2008-05-13,63.0,65.91,61.31,62.75,50.9,1488448
2008-05-14,60.24,63.61,60.24,63.2,51.27,438962
2008-05-15,63.76,65.51,62.08,64.15,52.04,1338169
2008-05-16,65.91,66.14,64.46,65.85,53.42,472419
2008-05-20,65.14,68.77,64.76,66.49,53.93,1961950
2008-05-21,66.68,67.82,66.29,67.52,54.77,1148654
2008-05-22,67.62,67.82,65.15,65.98,53.52,861053
2008-05-23,59.87,67.44,59.87,65.71,53.3,571274
2008-05-26,62.88,64.99,62.88,63.81,51.76,529401
2008-05-27,63.84,65.52,63.77,64.04,51.95,830885
2008-05-28,65.14,65.83,63.62,65.44,53.09,760672
2008-05-29,65.53,66.48,63.74,64.46,52.29,1344093
2008-05-30,66.06,66.06,59.55,60.67,49.22,1627884
2008-06-02,62.46,62.46,59.02,60.86,49.37,382737
2008-06-03,59.78,60.08,56.48,58.09,47.12,1287920
2008-06-04,57.1,59.67,55.57,56.59,45.9,723901
2008-06-05,57.1,57.3,54.42,55.23,44.8,1248605
2008-06-06,56.64,56.64,55.18,56.05,45.47,758127
2008-06-09,55.42,55.42,51.74,53.21,43.16,880065
