Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,42.26,43.72,41.0,41.48,16.26,866433
2008-01-02,42.26,45.86,40.51,44.44,17.42,668076
2008-01-03,45.65,45.66,42.26,43.22,16.94,229482
2008-01-04,44.69,49.36,43.43,48.63,19.06,732064
2008-01-07,47.61,49.36,44.99,47.25,18.52,711119
2008-01-08,48.97,52.4,47.51,49.56,19.43,1296474
2008-01-09,48.38,51.18,47.22,49.16,19.27,528901
2008-01-10,48.58,50.33,46.78,47.62,18.67,233702
2008-01-11,53.33,53.33,46.34,46.98,18.42,103645
2008-01-14,46.64,47.66,44.79,45.87,17.98,142438
2008-01-15,46.64,47.61,42.37,43.34,16.99,158577
2008-01-16,42.85,43.82,41.88,43.73,17.14,124838
2008-01-17,43.72,46.93,42.94,44.8,17.56,248698
2008-01-18,41.88,44.69,37.89,42.36,16.61,287892
2008-01-21,43.53,43.53,32.31,34.1,13.37,291936
2008-01-22,35.85,35.95,27.31,32.06,12.57,238148
2008-01-23,32.06,38.46,32.06,37.37,14.65,79633
2008-01-24,40.31,40.31,33.34,36.16,14.17,175467
2008-01-25,35.56,39.35,35.46,39.2,15.37,56712
2008-01-28,38.86,39.35,35.56,39.07,15.32,70576
2008-01-29,40.14,40.14,38.18,38.92,15.26,24784
2008-01-30,37.41,39.83,36.43,38.86,15.23,79365
2008-01-31,37.89,41.19,37.89,39.35,15.43,618703
2008-02-01,39.45,42.75,37.9,41.24,16.17,96358
2008-02-04,42.94,42.94,39.83,40.13,15.73,24815
2008-02-05,41.18,41.19,38.97,39.42,15.45,10859
2008-02-06,39.88,40.7,37.11,38.86,15.23,17827
2008-02-07,38.96,39.73,37.89,38.75,15.19,150785
2008-02-08,38.77,40.22,35.78,39.15,15.35,43445
2008-02-11,36.48,39.3,33.03,37.83,14.83,133041
2008-02-12,35.57,38.77,35.2,38.55,15.11,626937
2008-02-13,38.47,38.86,36.53,38.5,15.09,111674
2008-02-14,38.86,41.78,37.23,39.53,15.5,157815
2008-02-15,38.92,40.27,38.47,39.44,15.46,45369
2008-02-18,39.15,41.68,38.47,40.81,16.0,103337
2008-02-19,41.07,43.24,38.91,42.3,16.58,217223
2008-02-20,42.36,42.75,39.93,42.11,16.51,92602
2008-02-21,41.87,42.24,40.62,41.67,16.33,29879
2008-02-22,41.73,42.07,40.61,41.65,16.33,27594
2008-02-25,40.02,41.88,40.02,40.99,16.07,42323
2008-02-26,40.81,40.9,34.61,40.6,15.92,47881
2008-02-27,40.71,41.68,39.54,41.11,16.11,1601657
2008-02-28,40.71,43.53,39.84,41.86,16.41,152442
2008-02-29,41.39,41.49,40.32,41.11,16.11,201568
2008-03-03,40.41,40.42,37.99,38.63,15.14,32020
2008-03-04,38.67,38.86,36.14,38.44,15.07,54808
2008-03-05,37.6,38.77,35.75,38.05,14.92,120968
2008-03-07,36.63,37.7,34.35,36.51,14.31,153924
2008-03-10,34.6,37.7,32.74,35.75,14.02,154295
2008-03-11,34.1,36.92,34.1,36.36,14.25,5908
2008-03-12,38.57,38.57,35.46,36.63,14.36,19998
2008-03-13,35.04,36.7,34.42,35.31,13.84,10076
2008-03-14,37.31,37.7,33.54,35.19,13.79,75938
2008-03-17,35.88,35.88,29.44,33.31,13.06,173254
2008-03-18,34.44,34.98,31.62,34.06,13.35,50423
2008-03-19,33.52,35.56,30.12,31.85,12.49,79263
2008-03-24,29.68,32.06,29.68,31.39,12.31,87908
2008-03-25,31.57,31.92,30.8,31.58,12.38,134338
2008-03-26,31.28,32.05,30.9,31.18,12.22,409415
2008-03-27,31.58,31.58,29.92,30.48,11.95,649642
2008-03-28,30.99,30.99,30.12,30.46,11.94,20081
2008-03-31,32.94,33.03,29.24,32.45,12.72,71245
2008-04-01,32.98,33.91,31.14,32.97,12.92,65059
2008-04-02,33.8,33.8,31.73,32.14,12.6,25392
2008-04-03,33.33,33.33,31.1,31.51,12.35,7822
2008-04-04,33.03,33.03,30.51,31.04,12.17,28757
2008-04-07,32.55,32.55,29.97,30.73,12.04,52440
2008-04-08,31.37,31.37,29.93,30.08,11.79,24517
2008-04-09,30.9,30.9,29.97,30.02,11.77,43918
2008-04-10,30.59,31.09,29.83,30.75,12.05,23755
2008-04-11,30.6,30.69,30.12,30.17,11.83,18506
2008-04-15,30.6,30.6,30.12,30.29,11.88,7946
2008-04-16,30.6,30.87,30.31,30.33,11.89,19072
2008-04-17,30.6,31.48,30.31,30.99,12.15,31927
2008-04-21,31.09,31.84,30.77,31.1,12.19,638104
2008-04-22,31.28,31.48,31.05,31.1,12.19,28562
2008-04-23,31.24,31.77,30.51,30.82,12.08,38195
2008-04-24,30.9,30.9,30.46,30.55,11.97,4014
2008-04-25,31.67,31.77,30.51,30.69,12.03,12660
2008-04-28,31.27,31.58,30.6,30.93,12.12,47479
2008-04-29,30.6,30.85,30.31,30.49,11.95,10931
2008-04-30,30.31,31.28,30.31,31.12,12.2,35993
2008-05-02,31.97,32.24,30.51,30.59,11.99,31351
2008-05-05,29.15,32.06,29.15,30.28,11.87,19000
2008-05-06,30.22,31.09,29.34,29.6,11.6,144219
2008-05-07,29.54,30.65,29.24,29.74,11.66,40141
2008-05-08,30.41,30.51,29.54,29.97,11.75,21233
2008-05-09,30.12,30.12,29.15,29.27,11.48,6680
2008-05-12,27.4,29.9,27.4,29.45,11.55,38401
2008-05-13,29.63,30.07,28.68,29.16,11.43,30311
2008-05-14,29.43,29.44,28.18,28.7,11.25,12691
2008-05-15,29.14,29.36,28.57,28.65,11.23,19854
2008-05-16,28.37,29.14,28.37,28.64,11.23,13010
2008-05-20,28.95,29.53,28.42,28.84,11.3,11682
2008-05-21,29.15,30.11,27.32,27.73,10.87,169312
2008-05-22,27.69,27.7,25.56,25.8,10.11,503736
2008-05-23,26.52,27.3,25.9,26.75,10.48,111035
2008-05-26,28.95,28.95,25.76,26.33,10.32,285771
2008-05-27,27.79,27.79,25.28,25.49,9.99,68836
2008-05-28,25.26,26.72,25.26,26.06,10.22,38041
2008-05-29,26.23,26.43,25.26,25.32,9.93,30291
2008-05-30,25.36,26.14,24.39,25.64,10.05,55662
2008-06-02,26.33,26.43,24.59,25.0,9.8,18629
2008-06-03,25.55,25.55,23.44,23.76,9.31,24064
2008-06-04,23.51,24.28,21.87,22.75,8.92,50022
2008-06-05,23.61,23.61,21.02,22.32,8.75,80148
2008-06-06,22.54,22.54,21.18,21.51,8.43,55538
2008-06-09,20.65,21.27,17.97,18.61,7.3,56094
2008-06-10,19.02,19.82,18.36,18.6,7.29,287017
2008-06-11,18.47,19.04,16.14,17.34,6.8,514903
2008-06-12,16.32,16.8,16.14,16.39,6.42,137672
2008-06-13,16.9,16.9,13.85,14.35,5.63,788231
2008-06-16,15.34,15.84,14.77,15.06,5.91,300932
2008-06-17,15.25,15.92,14.88,15.61,6.12,190689
2008-06-18,16.13,16.61,15.54,16.38,6.42,323102
2008-06-19,16.03,16.4,15.61,15.83,6.2,77153
2008-06-20,15.55,16.13,15.19,16.01,6.28,185584
2008-06-23,15.08,15.74,13.97,14.54,5.7,97377
2008-06-24,14.67,14.76,13.9,14.36,5.63,82721
2008-06-25,14.19,16.41,13.92,15.9,6.23,219488
2008-06-26,16.23,16.29,15.45,15.52,6.08,34953
2008-06-27,15.06,15.09,14.19,14.35,6.01,49950
2008-06-30,14.87,14.87,13.41,13.53,5.67,32329
2008-07-01,13.79,13.79,12.64,12.73,5.33,20245
2008-07-02,13.41,14.26,12.54,13.24,5.55,37928
2008-07-03,12.84,13.2,12.51,12.79,5.36,13638
2008-07-04,13.31,13.6,12.85,13.05,5.47,18259
2008-07-07,12.92,14.04,12.92,13.68,5.73,27008
2008-07-08,12.99,13.89,12.93,13.6,5.7,18094
2008-07-09,14.09,14.57,13.12,13.95,5.84,285802
2008-07-10,13.85,14.28,13.23,14.08,5.9,50423
2008-07-11,14.08,14.08,12.97,13.22,5.54,37444
2008-07-14,12.93,13.26,12.93,13.1,5.49,7153
2008-07-15,13.1,13.12,12.63,12.67,5.31,15675
2008-07-16,12.63,13.02,12.14,12.45,5.22,42683
2008-07-17,12.63,13.6,11.33,12.34,5.17,122285
2008-07-18,12.24,13.02,11.51,11.65,4.88,115297
2008-07-21,11.17,12.0,11.17,11.49,4.81,41942
2008-07-22,11.89,11.89,10.89,11.46,4.8,1800796
2008-07-23,12.04,12.14,11.57,12.0,5.03,123860
2008-07-24,12.05,12.43,11.66,11.77,4.93,120638
2008-07-25,12.04,12.04,11.37,11.68,4.9,59388
2008-07-28,11.85,11.85,11.56,11.67,4.89,63258
2008-07-29,11.56,12.05,11.27,11.53,4.83,61251
2008-07-30,11.76,11.99,11.37,11.53,4.83,35242
2008-07-31,11.66,11.66,10.78,11.0,4.61,455134
2008-08-01,10.98,11.44,10.81,11.04,4.62,206035
2008-08-04,11.08,11.37,10.88,10.96,4.59,362224
2008-08-05,11.12,11.22,10.94,11.16,4.68,601463
2008-08-06,11.46,13.01,10.98,11.66,4.89,8472786
2008-08-07,11.76,13.99,11.75,13.76,5.76,9169804
2008-08-08,13.7,14.18,13.25,13.68,5.73,2765955
2008-08-11,13.61,14.37,13.38,13.63,5.71,1162445
2008-08-12,13.68,14.57,13.6,13.97,5.85,1757053
2008-08-13,14.09,14.17,13.75,14.0,5.87,269756
2008-08-14,14.18,14.38,13.89,14.05,5.89,963965
2008-08-18,13.89,14.19,13.7,14.07,5.89,551750
