Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,34.0,34.0,33.0,33.3,7.25,187490
2008-01-02,33.7,36.2,33.5,35.35,7.7,3387350
2008-01-03,35.35,36.6,34.3,35.01,7.63,3642040
2008-01-04,35.5,35.8,34.5,34.51,7.52,2758230
2008-01-07,35.0,35.0,34.1,34.33,7.48,516240
2008-01-08,35.0,35.0,32.81,33.33,7.26,1146460
2008-01-09,33.39,34.22,33.0,33.83,7.37,1208960
2008-01-10,34.0,35.28,34.0,34.22,7.45,1593760
2008-01-11,34.22,34.9,33.6,34.47,7.51,3776480
2008-01-14,35.0,35.5,34.1,34.2,7.45,954730
2008-01-15,34.65,35.4,34.21,34.38,7.49,882780
2008-01-16,34.0,34.8,33.5,34.53,7.52,1541240
2008-01-17,34.6,34.6,33.93,33.99,7.41,2215330
2008-01-18,34.5,34.5,32.4,33.53,7.3,1017260
2008-01-21,32.02,32.5,29.2,30.86,6.72,2561680
2008-01-22,29.4,30.5,25.0,29.49,6.42,758460
2008-01-23,31.0,31.8,30.0,31.02,6.76,994340
2008-01-24,33.38,33.38,30.75,31.38,6.83,497270
2008-01-25,31.8,34.69,31.8,33.65,7.33,721530
2008-01-28,32.99,33.6,31.5,33.08,7.21,716890
2008-01-29,33.4,33.62,30.8,31.8,6.93,1043240
2008-01-30,32.44,32.44,30.62,31.4,6.84,773920
2008-01-31,31.0,31.5,30.5,31.09,6.77,175030
2008-02-01,31.79,31.79,30.7,31.0,6.75,109410
2008-02-04,31.0,31.94,31.0,31.6,6.88,498000
2008-02-05,31.7,31.8,30.95,31.3,6.82,92410
2008-02-06,30.0,31.0,29.6,30.24,6.59,268620
2008-02-07,29.99,31.18,29.99,30.34,6.61,2252800
2008-02-08,31.0,31.0,30.1,30.61,6.67,328800
2008-02-11,30.9,30.9,29.12,29.8,6.49,663980
2008-02-12,29.96,30.0,28.77,29.75,6.48,506830
2008-02-13,29.0,30.0,28.81,29.0,6.32,569640
2008-02-14,29.32,30.0,29.0,29.69,6.47,693000
2008-02-15,29.0,29.8,29.0,29.52,6.43,402890
2008-02-18,29.51,30.15,29.41,29.78,6.49,1128340
2008-02-19,30.05,30.11,29.7,30.0,6.54,1566910
2008-02-20,30.0,30.0,29.0,29.17,6.36,87940
2008-02-21,29.8,29.8,29.14,29.3,6.38,293640
2008-02-22,29.58,29.6,28.91,29.32,6.39,616510
2008-02-25,29.49,30.0,29.41,29.5,6.43,1219590
2008-02-26,29.7,29.88,29.12,29.4,6.4,2620670
2008-02-27,29.87,29.9,29.0,29.1,6.34,970510
2008-02-28,29.25,29.55,29.0,29.0,6.32,267480
2008-02-29,29.06,29.85,28.95,29.69,6.47,671560
2008-03-03,29.2,29.39,28.91,29.0,6.32,932240
2008-03-04,29.1,29.1,27.91,28.77,6.27,1285700
2008-03-05,28.5,28.69,28.0,28.0,6.1,1100130
2008-03-07,27.23,27.69,26.7,27.31,5.95,559070
2008-03-10,26.1,27.2,25.2,27.05,5.89,239960
2008-03-11,26.7,27.8,26.5,26.51,5.78,103230
2008-03-12,27.89,28.0,26.32,26.88,5.85,481330
2008-03-13,26.38,26.38,25.0,25.24,5.5,710390
2008-03-14,25.11,25.59,22.8,24.22,5.28,1399690
2008-03-17,23.2,23.69,19.7,21.24,4.63,1857220
2008-03-18,21.0,21.5,19.3,19.95,4.35,1527430
2008-03-19,20.2,21.4,20.2,20.99,4.57,1790220
2008-03-24,21.19,21.29,20.8,21.05,4.58,935280
2008-03-25,21.25,22.42,21.25,21.75,4.74,3636090
2008-03-26,21.99,23.0,21.25,21.42,4.67,1411600
2008-03-27,21.55,22.3,21.42,21.92,4.78,4936190
2008-03-28,21.9,22.58,21.9,22.35,4.87,674120
2008-03-31,22.2,22.49,21.4,21.63,4.71,1066610
2008-04-01,21.8,21.9,21.2,21.32,4.64,662180
2008-04-02,22.3,22.3,21.45,21.67,4.72,662110
2008-04-03,21.69,22.29,21.69,22.06,4.8,1006610
2008-04-04,21.9,22.25,21.5,21.77,4.74,495930
2008-04-07,21.58,22.23,21.58,22.07,4.81,631860
2008-04-08,22.17,23.0,21.81,22.8,4.97,1201080
2008-04-09,22.33,23.7,22.33,23.7,5.16,361860
2008-04-10,23.31,23.7,22.71,22.71,4.95,121710
2008-04-11,23.7,23.7,23.1,23.16,5.04,568540
2008-04-15,22.9,23.7,22.8,23.31,5.08,638840
2008-04-16,23.8,24.15,23.42,23.63,5.15,384890
2008-04-17,24.2,25.2,23.86,24.26,5.28,311970
2008-04-21,24.5,24.94,24.0,24.55,5.35,202050
2008-04-22,24.11,25.4,24.1,25.4,5.53,3905050
2008-04-23,25.58,25.7,24.41,24.74,5.39,382040
2008-04-24,25.0,25.0,23.96,24.19,5.27,212650
2008-04-25,24.6,24.8,24.1,24.55,5.35,3223580
2008-04-28,24.9,24.9,24.03,24.13,5.26,139850
2008-04-29,23.6,25.4,23.6,24.7,5.38,911880
2008-04-30,24.81,24.94,23.8,24.02,5.23,226990
2008-05-02,24.5,25.77,24.5,25.35,5.52,555010
2008-05-05,26.0,26.5,25.41,26.06,5.68,548480
2008-05-06,26.0,26.28,25.2,25.61,5.58,515290
2008-05-07,25.59,26.45,25.4,25.64,5.58,2413420
2008-05-08,24.2,25.47,24.15,25.2,5.49,154390
2008-05-09,25.1,25.26,24.5,24.55,5.35,199800
2008-05-12,24.21,24.3,23.0,23.94,5.22,186070
2008-05-13,24.9,24.99,23.7,24.05,5.24,746410
2008-05-14,23.49,24.3,23.49,23.96,5.22,97140
2008-05-15,24.49,24.5,23.9,24.0,5.23,2530350
2008-05-16,24.25,24.4,23.7,23.94,5.22,729270
2008-05-20,23.9,24.75,23.9,24.46,5.33,727130
2008-05-21,24.8,25.18,24.2,24.65,5.37,254160
2008-05-22,24.9,25.6,24.2,24.51,5.34,848870
2008-05-23,25.0,25.2,23.31,23.64,5.15,975740
2008-05-26,22.8,22.9,21.9,22.19,4.84,676340
2008-05-27,22.5,22.59,21.11,21.4,4.66,349380
2008-05-28,22.1,22.1,20.7,21.43,4.67,2322570
2008-05-29,22.4,22.4,21.1,21.5,4.68,845420
2008-05-30,21.83,22.5,21.81,21.93,4.78,1126920
2008-06-02,22.0,22.4,21.47,21.5,4.68,1397070
2008-06-03,21.4,21.4,20.9,21.06,4.59,996680
2008-06-04,21.17,21.6,20.91,21.13,4.6,386280
2008-06-05,21.49,21.49,20.73,21.02,4.58,194770
2008-06-06,21.1,21.19,20.51,20.73,4.52,150490
2008-06-09,20.54,20.7,19.6,20.57,4.48,378590
2008-06-10,20.29,20.47,19.36,19.51,4.25,703460
2008-06-11,20.0,20.0,19.4,19.45,4.24,621220
2008-06-12,19.0,19.4,18.4,19.38,4.22,1913600
2008-06-13,19.51,19.69,19.4,19.6,4.27,571850
2008-06-16,19.97,21.0,19.71,20.0,4.36,978350
2008-06-17,19.9,21.5,19.8,21.34,4.65,2929660
2008-06-18,21.2,22.12,20.85,21.51,4.69,5877770
2008-06-19,20.8,21.1,20.53,20.74,4.52,229190
2008-06-20,20.99,21.0,19.85,19.93,4.34,239390
2008-06-23,19.4,19.58,18.5,18.74,4.08,552300
2008-06-24,18.7,18.9,17.8,18.11,3.95,565260
2008-06-25,17.5,18.09,17.3,18.01,3.92,1112860
2008-06-26,18.5,19.97,18.5,18.94,4.13,1053590
2008-06-27,18.01,18.72,17.85,18.4,4.01,257230
2008-06-30,18.1,18.9,18.1,18.2,3.96,9336880
2008-07-01,18.3,18.48,17.6,18.0,3.92,360120
2008-07-02,18.02,18.84,17.51,18.78,4.09,465300
2008-07-03,18.68,18.68,18.0,18.41,4.01,88390
2008-07-04,18.2,18.8,18.06,18.4,4.01,640250
2008-07-07,18.9,19.0,17.33,17.69,3.85,591960
2008-07-08,17.5,17.7,16.7,17.31,3.77,332970
2008-07-09,17.9,18.17,17.5,17.97,3.91,1180250
2008-07-10,17.97,17.98,17.5,17.51,4.91,301270
2008-07-11,17.6,17.6,17.2,17.32,4.85,211760
2008-07-14,17.2,17.4,16.95,17.06,4.78,240320
2008-07-15,16.9,16.9,16.5,16.59,4.65,331580
2008-07-16,16.51,16.84,16.31,16.5,4.62,210920
2008-07-17,16.81,17.6,16.61,16.84,4.72,321640
2008-07-18,16.9,17.7,16.9,17.45,4.89,654820
2008-07-21,17.83,18.15,17.1,17.68,4.95,166020
2008-07-22,18.15,18.15,17.5,17.98,5.04,4534630
2008-07-23,18.4,20.4,18.4,20.23,5.67,8446510
2008-07-24,20.3,21.18,19.8,20.43,5.72,900190
2008-07-25,20.1,20.3,19.2,20.05,5.62,363360
2008-07-28,19.85,20.8,19.7,20.14,5.64,540470
2008-07-29,19.85,20.25,19.1,19.5,5.46,552060
2008-07-30,19.6,19.78,19.35,19.7,5.52,435990
2008-07-31,19.77,19.9,19.05,19.15,5.36,343440
2008-08-01,19.3,20.6,18.91,20.42,5.72,747310
2008-08-04,20.55,21.01,20.3,20.79,5.83,519520
2008-08-05,21.13,21.62,20.99,21.48,6.02,645870
2008-08-06,22.79,23.08,21.7,21.97,6.16,2041930
2008-08-07,22.05,22.69,21.7,22.0,6.16,311400
2008-08-08,22.0,22.4,21.7,22.29,6.25,2769880
2008-08-11,23.0,23.0,22.5,22.76,6.38,632630
2008-08-12,23.2,23.2,22.5,22.94,6.43,714780
2008-08-13,22.69,22.89,22.41,22.5,6.3,207530
2008-08-14,22.5,22.5,21.32,21.51,6.03,314240
2008-08-18,21.5,21.5,20.83,21.25,5.95,154760
2008-08-19,21.08,21.48,20.75,21.12,5.92,160690
2008-08-20,21.39,21.58,21.2,21.44,6.01,72770
2008-08-21,21.3,21.42,20.7,20.93,5.87,418090
2008-08-22,20.8,21.09,20.56,20.88,5.85,87850
2008-08-25,22.85,22.85,20.51,20.66,5.79,130290
2008-08-26,20.5,20.99,20.2,20.89,5.85,91520
2008-08-27,21.0,21.08,20.9,20.93,5.87,380320
2008-08-28,20.56,20.69,20.3,20.54,5.76,319850
2008-08-29,21.2,21.59,20.97,21.48,6.02,329130
2008-09-01,21.1,21.3,21.03,21.22,5.95,53460
2008-09-02,21.78,22.1,21.44,22.0,6.16,276660
2008-09-04,21.61,22.9,21.6,22.67,6.35,577790
2008-09-05,22.0,22.8,21.5,22.56,6.32,302580
2008-09-08,23.0,23.5,22.7,22.83,6.4,409840
2008-09-09,22.9,22.9,22.28,22.28,6.24,121490
2008-09-10,22.14,22.81,22.14,22.53,6.31,578510
2008-09-11,22.5,22.59,22.01,22.1,6.19,89830
2008-09-12,22.3,22.4,21.6,21.9,6.14,154210
2008-09-15,21.9,21.9,20.42,21.45,6.01,340420
2008-09-16,20.31,21.3,20.31,20.97,5.88,369040
2008-09-17,21.2,21.2,20.45,20.65,5.79,1354450
