Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,2262.67,2317.81,2260.04,2286.3,1872.95,1480383
2008-01-02,2258.29,2306.43,2237.59,2274.92,1863.63,1514241
2008-01-03,2280.17,2359.78,2253.91,2357.81,1931.53,1963286
2008-01-04,2380.83,2442.06,2347.57,2404.46,1969.75,1501062
2008-01-07,2398.07,2435.1,2374.14,2405.34,1970.47,1204791
2008-01-08,2420.22,2433.35,2297.68,2361.57,1934.61,1312835
2008-01-09,2353.7,2536.46,2344.81,2485.87,2036.44,3736769
2008-01-10,2515.89,2556.77,2386.08,2400.22,1966.28,1853923
2008-01-11,2415.84,2449.11,2329.19,2428.23,1989.22,1942502
2008-01-14,2446.65,2512.13,2408.32,2492.48,2041.86,1090843
2008-01-15,2507.75,2559.66,2392.3,2402.71,1968.32,1787982
2008-01-16,2407.09,2414.88,2245.16,2346.83,1922.54,2335136
2008-01-17,2362.45,2382.58,2268.92,2276.76,1865.14,2273874
2008-01-18,2275.79,2304.94,2004.45,2021.87,1656.33,2528687
2008-01-21,2005.33,2055.57,1533.19,1679.45,1375.82,4186255
2008-01-22,1575.55,1679.71,1146.65,1593.06,1305.04,4463065
2008-01-23,1680.59,1816.26,1607.15,1688.46,1383.2,1879469
2008-01-24,1794.38,1889.61,1540.54,1593.06,1305.04,2784932
2008-01-25,1636.82,1873.15,1629.82,1862.65,1525.89,3358354
2008-01-28,1838.14,1838.14,1654.33,1790.88,1467.1,2630760
2008-01-29,1838.14,1881.91,1760.5,1777.83,1456.41,1717052
2008-01-30,1785.62,1811.88,1667.94,1698.09,1391.09,1583675
2008-01-31,1724.35,1749.25,1606.54,1657.87,1358.14,4028305
2008-02-01,1706.85,1728.73,1626.32,1711.35,1401.95,2731926
2008-02-04,1749.74,1813.9,1626.32,1751.49,1434.83,1888728
2008-02-05,1739.54,1811.88,1724.35,1811.8,1484.24,1828886
2008-02-06,1750.61,1750.61,1680.63,1712.97,1403.28,2687403
2008-02-07,1719.98,1768.07,1612.62,1638.57,1342.33,2991161
2008-02-08,1663.04,1675.34,1550.17,1576.43,1291.42,3025753
2008-02-11,1584.3,1623.69,1362.28,1374.67,1126.14,3378824
2008-02-12,1444.25,1614.94,1317.34,1495.9,1225.45,5806871
2008-02-13,1514.28,1628.07,1490.65,1619.32,1326.56,3711253
2008-02-14,1645.66,1770.74,1636.82,1749.39,1433.11,3187452
2008-02-15,1698.09,1841.99,1693.72,1806.54,1479.93,2387692
2008-02-18,1846.9,1874.9,1716.61,1812.1,1484.48,1809307
2008-02-19,1838.14,1924.62,1786.63,1894.16,1551.71,2588098
2008-02-20,1893.29,1899.41,1738.88,1752.58,1435.72,3169166
2008-02-21,1771.62,1816.26,1699.84,1740.98,1426.22,3546687
2008-02-22,1715.6,1725.23,1643.82,1647.76,1349.86,2855903
2008-02-25,1693.72,1705.1,1631.57,1677.96,1374.6,2261643
2008-02-26,1696.69,1765.49,1685.05,1698.09,1391.09,1878076
2008-02-27,1741.86,1798.67,1658.7,1658.7,1358.82,3063394
2008-02-28,1679.71,1688.33,1637.78,1667.41,1365.95,2644355
2008-02-29,1645.57,1671.83,1567.67,1577.3,1292.13,2707641
2008-03-03,1575.55,1575.55,1409.24,1410.99,1155.89,2580518
2008-03-04,1433.75,1443.38,1321.71,1334.8,1093.48,3063861
2008-03-05,1354.89,1355.85,1256.06,1329.24,1088.92,4307286
2008-03-07,1299.83,1299.83,1182.58,1192.17,976.63,3650736
2008-03-10,1181.66,1197.24,1108.44,1168.53,957.27,4160974
2008-03-11,1142.27,1256.94,1103.19,1235.93,1012.48,3973925
2008-03-12,1269.19,1334.75,1249.81,1254.31,1027.54,3587914
2008-03-13,1225.34,1225.34,1094.13,1095.01,897.04,2707529
2008-03-14,1098.42,1186.0,1077.5,1183.41,969.46,3350882
2008-03-17,1109.23,1111.64,972.47,978.59,801.67,4524622
2008-03-18,984.72,1027.04,915.48,925.24,757.96,7321232
2008-03-19,984.72,1072.25,947.52,973.78,797.73,6189555
2008-03-24,990.85,1006.6,945.42,998.55,818.02,3521163
2008-03-25,1063.06,1177.29,1010.98,1175.54,963.01,4751901
2008-03-26,1168.53,1203.06,1104.15,1111.64,910.66,5561825
2008-03-27,1096.41,1180.7,1094.13,1160.0,950.28,4093726
2008-03-28,1164.16,1233.96,1164.16,1218.43,998.15,3925740
2008-03-31,1203.81,1217.55,1059.12,1069.67,876.28,5565482
2008-04-01,1094.13,1118.64,1032.86,1066.12,873.37,6337325
2008-04-02,1116.01,1159.78,1054.74,1061.0,869.18,5684879
2008-04-03,1067.87,1088.62,1038.99,1072.25,878.39,5095962
2008-04-04,1092.38,1092.38,1010.98,1027.61,841.82,4116634
2008-04-07,1045.99,1083.37,984.81,1064.15,871.76,4464693
2008-04-08,1048.97,1084.5,1024.11,1067.87,874.81,4447046
2008-04-09,1066.03,1110.76,1051.37,1076.8,882.12,5399039
2008-04-10,1094.09,1115.93,1055.31,1076.63,881.98,4218484
2008-04-11,1098.07,1130.9,1076.71,1123.72,920.56,4839798
2008-04-15,1096.36,1158.9,1090.63,1155.4,946.51,3486158
2008-04-16,1216.67,1216.67,1158.03,1164.81,954.22,3172350
2008-04-17,1186.04,1206.17,1179.91,1181.66,968.02,2305299
2008-04-21,1194.79,1252.56,1194.79,1250.11,1024.1,1942455
2008-04-22,1243.02,1268.32,1217.81,1263.07,1034.71,2230201
2008-04-23,1266.96,1283.33,1225.43,1230.72,1008.21,2587191
2008-04-24,1247.31,1251.69,1186.91,1212.3,993.12,2732917
2008-04-25,1224.55,1288.84,1204.42,1279.78,1048.4,3321850
2008-04-28,1286.7,1303.33,1256.63,1275.01,1044.5,2599568
2008-04-29,1282.41,1330.46,1272.69,1309.68,1072.9,4468110
2008-04-30,1319.09,1338.74,1301.27,1316.46,1078.45,3557578
2008-05-02,1343.59,1365.48,1334.84,1347.1,1103.55,2731575
2008-05-05,1365.3,1373.79,1337.64,1344.47,1101.4,2128070
2008-05-06,1339.22,1346.96,1221.93,1258.69,1031.13,3484728
2008-05-07,1247.31,1285.56,1233.31,1277.95,1046.9,3374065
2008-05-08,1247.79,1260.44,1204.6,1206.08,988.03,3291551
2008-05-09,1207.05,1207.05,1112.6,1115.14,913.53,5105839
2008-05-12,1120.39,1149.93,1082.36,1145.03,938.02,4765459
2008-05-13,1151.03,1179.91,1114.26,1116.01,914.24,3562625
2008-05-14,1111.64,1159.78,1095.49,1158.64,949.17,3230201
2008-05-15,1166.78,1200.04,1161.53,1196.54,980.21,2445108
2008-05-16,1220.35,1231.56,1195.76,1210.37,991.54,2606894
2008-05-20,1199.08,1205.3,1175.32,1193.7,977.89,1536269
2008-05-21,1172.91,1249.94,1166.08,1246.44,1021.09,2564388
2008-05-22,1218.43,1241.84,1186.3,1216.02,996.17,4775754
2008-05-23,1218.43,1247.31,1150.15,1155.4,946.51,4542372
2008-05-26,1137.63,1137.9,1107.26,1121.09,918.4,2797074
2008-05-27,1137.81,1147.53,1068.75,1082.8,887.04,3388488
2008-05-28,1088.88,1109.01,1068.75,1102.45,903.13,2751332
2008-05-29,1114.26,1123.02,1071.02,1081.09,885.64,2748918
2008-05-30,1085.38,1098.46,1041.61,1053.78,863.26,3267830
2008-06-02,1054.74,1069.62,982.97,982.97,805.25,3571505
2008-06-03,950.84,987.08,935.31,978.59,801.67,4662475
2008-06-04,980.34,1001.35,919.07,938.2,768.58,4797231
2008-06-05,934.83,1020.39,915.35,1010.8,828.05,5332382
2008-06-06,1040.74,1040.74,969.84,977.54,800.81,4575469
2008-06-09,888.61,971.59,888.61,968.96,793.78,4415135
2008-06-10,945.33,999.6,937.45,988.22,809.56,6533520
2008-06-11,997.85,1020.61,972.47,991.72,812.42,4276480
2008-06-12,958.46,994.35,920.43,993.34,813.75,6740668
2008-06-13,996.97,1007.83,959.77,977.72,800.95,5294364
2008-06-16,1002.23,1024.11,973.91,975.88,799.45,3633165
2008-06-17,973.34,1028.48,951.15,1027.61,841.82,4304768
2008-06-18,1028.31,1054.48,994.35,994.52,819.1,6271255
2008-06-19,984.72,988.96,945.33,947.96,780.75,4054387
2008-06-20,954.08,962.79,876.79,904.19,744.7,4799808
2008-06-23,877.62,910.32,805.54,811.32,668.22,9199208
2008-06-24,812.28,855.17,804.06,813.51,670.02,8454163
2008-06-25,809.66,882.31,798.45,867.43,714.43,5741802
2008-06-26,879.68,891.94,842.13,857.01,705.85,6314187
2008-06-27,848.96,864.63,822.79,836.92,689.3,7635326
2008-06-30,840.38,856.92,780.95,787.08,648.25,5589669
2008-07-01,804.41,821.47,757.23,768.52,632.96,6875807
2008-07-02,792.15,874.43,719.33,849.05,699.29,11047254
2008-07-03,849.05,853.42,744.01,765.02,630.08,8868229
2008-07-04,774.65,877.06,754.12,875.13,720.77,10371299
2008-07-07,892.81,945.16,877.8,915.09,753.68,6000820
2008-07-08,818.41,944.41,818.41,941.83,775.7,7386241
2008-07-09,955.83,1001.31,955.83,994.35,818.96,4577705
2008-07-10,992.6,1001.35,947.52,976.67,804.4,4803308
2008-07-11,990.41,997.85,880.56,898.72,740.2,6541138
2008-07-14,901.13,947.91,880.16,930.45,766.33,5274347
2008-07-15,901.39,905.94,857.89,862.4,710.28,4613731
2008-07-16,892.81,896.31,838.54,875.13,720.77,5813517
2008-07-17,905.98,927.65,878.5,894.56,736.77,4451419
